Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,Citation,,,EOIR_foiacost,OIG_foiacost,,,EOIR_ratio,OIG_ratio,,,EOIR_backlog,OIG_backlog
2023,"37,485,000,000",DOJ FY 2024 Budget Summary. 2023 at https://www.justice.gov/d9/2023-03/2-_fy_24_budget_summary_-_03.9.23_1245pm.pdf  Page 1.,"37,654,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,,,,,,,,,,,,,,
2022,"35,020,000,000",DOJ FY 2024 Budget Summary. 2023 at https://www.justice.gov/d9/2023-03/2-_fy_24_budget_summary_-_03.9.23_1245pm.pdf  Page 1.,"35,304,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,,,,,4744093.71,763783,,,0.0001354681242,0.00002180990862,,,43808,228
2021,"32,423,000,000",DOJ FY 2023 Budget Summary. 2022 at https://www.justice.gov/d9/pages/attachments/2022/03/31/23_budget_summary_fy_23_bud_sum_3.31.22_228-2.pdf  Page 2.,"31,700,000,000",DOJ FY 2021 Budget Summary. 2020 at https://www.justice.gov/d9/pages/attachments/2020/02/10/budget_summary.pdf  Page 3.,,,,,4006039,719215,,,0.0001235554699,0.00002218224717,,,,11
2020,"32,387,000,000",DOJ FY 2022 Budget Summary. 2021 at https://www.justice.gov/d9/pages/attachments/2021/05/27/fy_22_budget_performance_summary_5.25.21.pdf Page 5.,"29,200,000,000",DOJ FY 2020 Budget Summary. 2019 at https://www.justice.gov/d9/pages/attachments/2019/03/11/fy_2020_budget_summary.pdf Page 1.,,,,,,563000,,,0,0.00001738351808,,,10923,150
2019,"29,900,000,000",DOJ FY 2020 Budget Summary. 2019 at https://www.justice.gov/d9/pages/attachments/2019/03/11/fy_2020_budget_summary.pdf Page 1.,"28,000,000,000",DOJ FY 2019 Budget Summary. 2018 at https://www.justice.gov/d9/pages/attachments/2018/02/12/2_2019_budget_summary_2.12.18.pdf Page 1.,,,,,3998716,517000,,,0.0001337363211,0.0000172909699,,,9155,167
2018,"28,100,000,000",DOJ FY 2019 Budget Summary. 2018 at https://www.justice.gov/d9/pages/attachments/2018/02/12/2_2019_budget_summary_2.12.18.pdf Page 1.,"27,700,000,000",DOJ FY 2018 Budget Summary. 2017 at https://www.justice.gov/media/895841/dl?inline  Page 1.,,,,,4779650,237900,,,0.000170094306,0.000008466192171,,,2403,228
2017,"28,800,000,000",DOJ FY 2018 Budget Summary. 2017 at https://www.justice.gov/media/895841/dl?inline  Page 1.,"29,000,000,000",DOJ FY 2017 Budget Summary. 2016 at https://www.justice.gov/d9/pages/attachments/2016/02/08/4_doj_2017_budget_summary.pdf  Page 1.,,,,,3430000,229000,,,0.0001190972222,0.000007951388889,,,1494,164
2016,"28,700,000,000",DOJ FY 2017 Budget Summary. 2016 at https://www.justice.gov/d9/pages/attachments/2016/02/08/4_doj_2017_budget_summary.pdf  Page 1.,"28,653,702,000",DOJ FY 2016 Budget Summary. 2015 at https://www.justice.gov/sites/default/files/jmd/pages/attachments/2015/02/02/2016_budget_summary_pages_5-12.pdf  Page 1.,,,,,3185246,380000,,,0.0001109841812,0.00001324041812,,,646,78
2015,"26,227,375,000",DOJ FY 2016 Budget Summary. 2015 at https://www.justice.gov/sites/default/files/jmd/pages/attachments/2015/02/02/2016_budget_summary_pages_5-12.pdf  Page 1.,"27,400,000,000",DOJ FY 2015 Budget Summary. 2014 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/21/fy15-bud-sum.pdf  Page 4.,,,,,3426662,579000,,,0.0001306521144,0.00002207617041,,,768,32
2014,"27,300,000,000",DOJ FY 2015 Budget Summary. 2014 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/21/fy15-bud-sum.pdf  Page 4.,"27,600,000,000",DOJ FY 2014 Budget Summary. 2013 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/11/fy14-bud-sum.pdf  Page 3.,,,,,3350649,565000,,,0.0001227343956,0.0000206959707,,,983,46
2013,"NA online, unclear why",,"27,100,000,000",DOJ FY 2013 Budget Summary. 2012 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/08/25/fy13-bud-summary-request-performance.pdf  Page 4.,,,,,2802692.91,467193,,,,,,,180,45
2012,"26,800,000,000",DOJ FY 2014 Budget Summary. 2013 at https://www.justice.gov/sites/default/files/jmd/legacy/2013/11/11/fy14-bud-sum.pdf  Page 3.,"28,200,000,000",DOJ FY 2012 Budget Summary. 2011 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/12/fy12-bud-summary-request-performance.pdf Page 3.,,,,,2215159,344000,,,0.00008265518657,0.0000128358209,,,179,34
2011,"27,700,000,000",DOJ FY 2012 Budget Summary. 2011 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/12/fy12-bud-summary-request-performance.pdf Page 3.,"29,190,174,000",DOJ FY 2011 Budget Summary. 2010 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/16/doj-budget-summary.pdf Page 1.,,,,,1757232,287000,,,0.00006343797834,0.00001036101083,,,205,8
2010,"27,700,551,000",DOJ FY 2011 Budget Summary. 2010 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/01/16/doj-budget-summary.pdf Page 1.,"26,698,777,000",DOJ FY 2010 Budget Summary. 2009 at https://www.justice.gov/sites/default/files/jmd/legacy/2014/07/06/bud-summary.pdf  Page 1.,,,,,1984038,350000,,,0.00007162449584,0.00001263512773,,,264,0
