Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,,
2023,"79,233,262",Department of Education FY 2024 Budget Summary. 2023 at https://www2.ed.gov/about/overview/budget/budget24/summary/24summary.pdf Page 98.,"88,326,976",Department of Education FY 2023 Budget Summary. 2022 at https://www2.ed.gov/about/overview/budget/budget23/summary/23summary.pdf Page 82.,,,** Thousands of dollars
2022,"75,349,255",Department of Education FY 2024 Budget Summary. 2023 at https://www2.ed.gov/about/overview/budget/budget24/summary/24summary.pdf Page 98.,"102,823,263",Department of Education FY 2022 Budget Summary. 2021 at https://www2.ed.gov/about/overview/budget/budget22/22pbapt.pdf Page 15.,,,
2021,"73,036,533",Department of Education FY 2023 Budget Summary. 2022 at https://www2.ed.gov/about/overview/budget/budget23/summary/23summary.pdf Page 82.,"72,383,022",Department of Education FY 2021 Budget Summary. 2020 at https://www2.ed.gov/about/overview/budget/budget21/summary/21summary.pdf  Page 81.,,,
2020,"72,251,214",Department of Education FY 2022 Budget Summary. 2021 at https://www2.ed.gov/about/overview/budget/budget22/22pbapt.pdf Page 15.,"64,005,915",Department of Education FY 2020 Budget Summary. 2020 at https://www2.ed.gov/about/overview/budget/budget21/summary/21summary.pdf  Page 4.,,,
2019,"71,098,416",Department of Education FY 2020 Budget Summary. 2020 at https://www2.ed.gov/about/overview/budget/budget21/summary/21summary.pdf  Page 4.,"65,756,343",Department of Education FY 2019 Budget Summary. 2018 at https://www2.ed.gov/about/overview/budget/budget19/summary/19summary.pdf Page 1.,,,
2018,"70,588,482",Department of Education FY 2020 Budget Summary. 2019 at https://www2.ed.gov/about/overview/budget/budget21/summary/21summary.pdf  Page 4.,"61,035,475",Department of Education FY 2018 Budget Summary. 2017 at https://www2.ed.gov/about/overview/budget/budget18/summary/18summary.pdf Page 1.,,,
2017,"116,041,842",Department of Education FY 2019 Budget Summary. 2018 at https://www2.ed.gov/about/overview/budget/budget19/summary/19summary.pdf Page 1.,"79,475,529",Department of Education FY 2017 Budget Summary. 2016 at https://www2.ed.gov/about/overview/budget/budget17/summary/17summary.pdf Page 1.,,,
2016,"77,079,502",Department of Education FY 2018 Budget Summary. 2017 at https://www2.ed.gov/about/overview/budget/budget18/summary/18summary.pdf Page 1.,"70,747,119",Department of Education FY 2016 Budget Summary. 2015 at https://www2.ed.gov/about/overview/budget/budget16/summary/16summary.pdf Page 1.,,,
2015,"87,513,466",Department of Education FY 2017 Budget Summary. 2016 at https://www2.ed.gov/about/overview/budget/budget17/summary/17summary.pdf Page 1.,82279327,Department of Education FY 2015 Budget Summary. 2014 at https://www2.ed.gov/about/overview/budget/budget15/summary/15summary.pdf Page 1.,,,
2014,56768658,Department of Education FY 2015 Budget Summary. 2014 at https://www2.ed.gov/about/overview/budget/budget15/summary/15summary.pdf Page 1.,"56,699,062",Department of Education FY 2014 Budget Summary. 2013 at https://www2.ed.gov/about/overview/budget/budget14/summary/14pbapt.pdf  Page 20.,,,
2013,39609956,Department of Education FY 2015 Budget Summary. 2014 at https://www2.ed.gov/about/overview/budget/budget15/summary/15summary.pdf Page 1.,"55,096,961",Department of Education FY 2013 Budget Summary. 2012 at https://www2.ed.gov/about/overview/budget/budget13/summary/13pbapt.pdf Page 21.,,,
2012,"57,650,885",Department of Education FY 2014 Budget Summary. 2013 at https://www2.ed.gov/about/overview/budget/budget14/summary/14pbapt.pdf  Page 20.,"77,397,000",Department of Education FY 2012 Budget Summary. 2011 at https://www.govinfo.gov/content/pkg/BUDGET-2012-BUD/pdf/BUDGET-2012-BUD.pdf Page 71.,,,
2011,"43,669,088",Department of Education FY 2013 Budget Summary. 2012 at https://www2.ed.gov/about/overview/budget/budget13/summary/13pbapt.pdf Page 21.,"77,800,000",Department of Education FY 2011 Budget Summary. 2010 at https://www2.ed.gov/about/overview/budget/budget11/summary/edlite-section1.html  Page 1.,,,
2010,"64,132,000",Department of Education FY 2012 Budget Summary. 2011 at https://www.govinfo.gov/content/pkg/BUDGET-2012-BUD/pdf/BUDGET-2012-BUD.pdf Page 71.,"58,500,000",Department of Education FY 2010 Budget Summary. 2009 at https://www2.ed.gov/about/overview/budget/budget10/summary/edlite-section1.html Page 1.,,,
