Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,,,
2023,"16,761,634,000",Department of the Interior FY 2024 Budget in Brief. 2023 at https://www.doi.gov/sites/doi.gov/files/fy2024-bib-apx-a-comparison-from-2024-bib-508.pdf Page A-20.,"17,462,174,000",Department of the Interior FY 2023 Budget in Brief. 2022 at https://www.doi.gov/sites/doi.gov/files/fy2023-bib-apx-a-508.pdf Page A-19.,,,,
2022,"15,089,305,000",Department of the Interior FY 2023 Budget in Brief. 2022 at https://www.doi.gov/sites/doi.gov/files/fy2023-bib-apx-a-508.pdf Page A-19.,"17,447,100,000",Department of the Interior FY 2022 Budget in Brief. 2021 at https://www.doi.gov/sites/doi.gov/files/fy2022-bib-a0001.pdf Page A-17.,,,,
2021,"15,310,232,000",Department of the Interior FY 2023 Budget in Brief. 2022 at https://www.doi.gov/sites/doi.gov/files/fy2023-bib-apx-a-508.pdf Page A-19.,"12,698,680,000",Department of the Interior FY 2021 Budget in Brief. 2020 at https://www.doi.gov/sites/doi.gov/files/uploads/fy2021-bib-a0001.pdf Page A-18.,,,,
2020,"16,019,728,000",Department of the Interior FY 2022 Budget in Brief. 2021 at https://www.doi.gov/sites/doi.gov/files/fy2022-bib-a0001.pdf Page A-17.,"12,463,780,000",Department of the Interior FY 2020 Budget in Brief. 2019 at https://www.doi.gov/sites/doi.gov/files/uploads/fy2020_bib_a0001.pdf Page A-17.,,,,
2019,"14,951,064,000",Department of the Interior FY 2021 Budget in Brief. 2020 at https://www.doi.gov/sites/doi.gov/files/uploads/fy2021-bib-a0001.pdf Page A-18.,NA,,,,,* No budget justifications after 2020 are available. Independent report on the deletion of budget info is here: https://envirodatagov.org/wp-content/uploads/2020/07/AAR-13-DOI-Budgets-20200728.pdf
2018,"15,100,574,000",Department of the Interior FY 2020 Budget in Brief. 2019 at https://www.doi.gov/sites/doi.gov/files/uploads/fy2020_bib_a0001.pdf Page A-17.,NA,,,,,
2017,NA,,NA,,,,,
2016,NA,,NA,,,,,
2015,NA,,NA,,,,,
2014,NA,,NA,,,,,
2013,NA,,NA,,,,,
2012,NA,,NA,,,,,
2011,NA,,NA,,,,,
2010,NA,,NA,,,,,
