Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"16,414,297,000",Department of Treasury FY 2024 Executive Budget Summary. 2023 at https://home.treasury.gov/system/files/266/01.-Executive-Summary-FY%202024-CJ.pdf Page 1.,"20,531,986,000",Department of Treasury FY 2023 Executive Budget Summary. 2022 at https://home.treasury.gov/system/files/266/02-05.-Executive-Summary-FY-2023-BIB.pdf Page 1.,
2022,"16,180,461,000",Department of Treasury FY 2024 Executive Budget Summary. 2023 at https://home.treasury.gov/system/files/266/01.-Executive-Summary-FY%202024-CJ.pdf Page 1.,"18,693,122,000",Department of Treasury FY 2022 Executive Budget Summary. 2021 at https://home.treasury.gov/system/files/266/01.-FY-2022-Executive-Summary.pdf Page 1.,
2021,"15,288,654,000",Department of Treasury FY 2023 Executive Budget Summary. 2022 at https://home.treasury.gov/system/files/266/02-05.-Executive-Summary-FY-2023-BIB.pdf Page 1.,"17,692,194,000",Department of Treasury FY 2021 Executive Budget Summary. 2020 at https://home.treasury.gov/system/files/266/02.-05.-BIB-Executive-Summary.pdf Page 1.,
2020,"14,785,211,000",Department of Treasury FY 2022 Executive Budget Summary. 2021 at https://home.treasury.gov/system/files/266/01.-FY-2022-Executive-Summary.pdf Page 1.,"12,699,200,000",Department of Treasury FY 2020 Executive Budget Summary. 2019 at https://home.treasury.gov/system/files/266/FY2020BIB.pdf Page 1.,
2019,"16,557,168,000",Department of Treasury FY 2021 Executive Budget Summary. 2020 at https://home.treasury.gov/system/files/266/02.-05.-BIB-Executive-Summary.pdf Page 1.,"13,363,058,000",Department of Treasury FY 2019 Executive Budget Summary. 2018 at https://home.treasury.gov/system/files/266/02.-04.-Executive-Summary-FY2019.pdf Page 1.,
2018,"11,791,747,000",Department of Treasury FY 2020 Executive Budget Summary. 2019 at https://home.treasury.gov/system/files/266/FY2020BIB.pdf Page 1.,"12,726,953,000",Department of Treasury FY 2018 Executive Budget Summary. 2017 at https://home.treasury.gov/system/files/266/02-04.-Executive-Summary-BIB.pdf  Page 1.,
2017,"13,207,033,000",Department of Treasury FY 2019 Executive Budget Summary. 2018 at https://home.treasury.gov/system/files/266/02.-04.-Executive-Summary-FY2019.pdf Page 1.,"15,462,079,000",Department of Treasury FY 2017 Executive Budget Summary. 2016 at https://home.treasury.gov/system/files/266/02.-Executive-Summary-and-Summary-Tables-FY2017.pdf Page 1.,
2016,"14,077,123,000",Department of Treasury FY 2018 Executive Budget Summary. 2017 at https://home.treasury.gov/system/files/266/02-04.-Executive-Summary-BIB.pdf  Page 1.,"16,355,597,000",Department of Treasury FY 2016 Executive Budget Summary. 2015 at https://home.treasury.gov/system/files/266/02-05-Executive-Summary-Combined-FY2016.pdf Page 1.,
2015,"13,799,008,000",Department of Treasury FY 2017 Executive Budget Summary. 2016 at https://home.treasury.gov/system/files/266/02.-Executive-Summary-and-Summary-Tables-FY2017.pdf Page 1.,"15,452,740,000",Department of Treasury FY 2015 Executive Budget Summary. 2014 at https://home.treasury.gov/system/files/266/Treasury-FY2015-BIB.pdf Page 1.,
2014,"14,483,229,000",Department of Treasury FY 2016 Executive Budget Summary. 2015 at https://home.treasury.gov/system/files/266/02-05-Executive-Summary-Combined-FY2016.pdf Page 1.,"16,125,845,000",Department of Treasury FY 2014 Executive Budget Summary. 2013 at https://home.treasury.gov/system/files/266/1.%20Exec%20Summary%202014%20-%20FINAL%20ok.pdf Page 1.,
2013,"14,119,120,000",Department of Treasury FY 2015 Executive Budget Summary. 2014 at https://home.treasury.gov/system/files/266/Treasury-FY2015-BIB.pdf Page 1.,"16,142,705,000",Department of Treasury FY 2013 Executive Budget Summary. 2012 at https://home.treasury.gov/system/files/266/1.-FY-2013-Executive-Summary-final.pdf Page 1.,
2012,"14,874,715,000",Department of Treasury FY 2014 Executive Budget Summary. 2013 at https://home.treasury.gov/system/files/266/1.%20Exec%20Summary%202014%20-%20FINAL%20ok.pdf Page 1.,"17,401,664,000",Department of Treasury FY 2012 Executive Budget Summary. 2011 at https://home.treasury.gov/system/files/266/CJ-FY2012-Dept-Summary-508.pdf Page 1.,
2011,"15,096,256,000",Department of Treasury FY 2013 Executive Budget Summary. 2012 at https://home.treasury.gov/system/files/266/1.-FY-2013-Executive-Summary-final.pdf Page 1.,"17,001,825,000",Department of Treasury FY 2011 Executive Budget Summary. 2010 at https://home.treasury.gov/system/files/266/Executive%20Summary%20FY11%20508.pdf Page 1.,
2010,"15,591,361,000",Department of Treasury FY 2013 Executive Budget Summary. 2012 at https://home.treasury.gov/system/files/266/1.-FY-2013-Executive-Summary-final.pdf Page 1.,"15,844,743,000",Department of Treasury FY 2010 Executive Budget Summary. 2009 at https://home.treasury.gov/system/files/266/BIB-ExecutiveSummary-fy2010.pdf Page 1.,
