Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"51,999,588,000",Department of Energy FY 2024 Appropriation Summary. 2023 at https://www.energy.gov/sites/default/files/2023-06/doe-fy2024-summary-table-by-appropriation-v5.pdf Page 1.,"48,183,541,000",Department of Energy FY 2023 Comparative Appropriation by Congressional Control. 2022 at https://www.energy.gov/sites/default/files/2022-04/doe-fy-23-budget-stat-by-appropriation-annualized-cr-v2_1.pdf Page 11.,
2022,"41,892,625,000",Department of Energy FY 2023 Comparative Appropriation by Congressional Control. 2022 at https://www.energy.gov/sites/default/files/2022-04/doe-fy-23-budget-stat-by-appropriation-annualized-cr-v2_1.pdf Page 11.,"46,189,430,000",Department of Energy FY 2022 Approptriation Summary. 2021 at https://www.energy.gov/sites/default/files/2021-06/doe-fy2022-summary-table-by-appropriation.pdf Page 1.,
2021,"41,892,625,000",Department of Energy FY 2023 Comparative Appropriation by Congressional Control. 2022 at https://www.energy.gov/sites/default/files/2022-04/doe-fy-23-budget-stat-by-appropriation-annualized-cr-v2_1.pdf Page 11.,"35,361,669,000",Department of Energy FY 2021 Approptriation Summary. 2020 at https://www.energy.gov/sites/default/files/2020/03/f72/doe-fy2021-summary-table-by-appropriation.pdf Page 1.,
2020,"38,533,916,000",Department of Energy FY 2022 Approptriation Summary. 2021 at https://www.energy.gov/sites/default/files/2021-06/doe-fy2022-summary-table-by-appropriation.pdf Page 1.,"31,702,529,000",Department of Energy FY 2020 Approptriation Summary. 2019 at https://www.energy.gov/sites/default/files/2019/03/f60/doe-fy2020-summary-table-by-appropriation.pdf Page 1.,
2019,"35,533,628,000",Department of Energy FY 2021 Approptriation Summary. 2020 at https://www.energy.gov/sites/default/files/2020/03/f72/doe-fy2021-summary-table-by-appropriation.pdf Page 1.,"30,609,071,000",Department of Energy FY 2019 Approptriation Summary. 2018 at https://www.energy.gov/sites/default/files/2018/04/f50/FY2019ControlTablebyAppropriation.pdf  Page 1.,
2018,"34,517,657,000",Department of Energy FY 2020 Approptriation Summary. 2019 at https://www.energy.gov/sites/default/files/2019/03/f60/doe-fy2020-summary-table-by-appropriation.pdf Page 1.,"28,041,597,000",Department of Energy FY 2018 Approptriation Summary. 2017 at https://www.energy.gov/sites/default/files/2017/05/f34/FY2018BudgetSummaryTablebyAppropriation.pdf Page 1.,
2017,"30,087,193,000",Department of Energy FY 2019 Approptriation Summary. 2018 at https://www.energy.gov/sites/default/files/2018/04/f50/FY2019ControlTablebyAppropriation.pdf  Page 1.,"32,498,955,000",Department of Energy FY 2017 Approptriation Summary. 2016 at https://www.energy.gov/sites/default/files/2016/02/f29/FY2017BudgetSummaryTablebyAppropriation_0.pdf Page 1.,
2016,"29,602,691,000",Department of Energy FY 2018 Approptriation Summary. 2017 at https://www.energy.gov/sites/default/files/2017/05/f34/FY2018BudgetSummaryTablebyAppropriation.pdf Page 1.,"29,923,752,000",Department of Energy FY 2016 Approptriation Summary. 2015 at https://www.energy.gov/sites/default/files/2015/01/f19/FY2016BudgetSummaryTableByAppropriation_0.pdf Page 1.,
2015,"27,402,312,000",Department of Energy FY 2017 Approptriation Summary. 2016 at https://www.energy.gov/sites/default/files/2016/02/f29/FY2017BudgetSummaryTablebyAppropriation_0.pdf Page 1.,"27,940,428,000",Department of Energy FY 2015 Approptriation Summary. 2014 at https://www.energy.gov/sites/default/files/2014/04/f14/FY%202015%20DOE%20Budget%20by%20Appropriation.pdf Page 1.,
2014,"27,224,810,000",Department of Energy FY 2016 Approptriation Summary. 2015 at https://www.energy.gov/sites/default/files/2015/01/f19/FY2016BudgetSummaryTableByAppropriation_0.pdf Page 1.,"28,415,657,000",Department of Energy FY 2014 Approptriation Summary. 2013 at https://www.energy.gov/sites/default/files/2013/04/f0/apprsum.pdf Page 1.,
2013,"25,137,431,000",Department of Energy FY 2015 Approptriation Summary. 2014 at https://www.energy.gov/sites/default/files/2014/04/f14/FY%202015%20DOE%20Budget%20by%20Appropriation.pdf Page 1.,"27,155,072,000",Department of Energy FY 2013 Approptriation Summary. 2012 at https://www.energy.gov/sites/default/files/FY13Apprsum.pdf Page 1.,
2012,"26,320,090,000",Department of Energy FY 2014 Approptriation Summary. 2013 at https://www.energy.gov/sites/default/files/2013/04/f0/apprsum.pdf Page 1.,"29,546,730,000",Department of Energy FY 2012 Approptriation Summary. 2011 at https://www.energy.gov/sites/default/files/FY12Apprsum.pdf Page 1.,
2011,"25,692,833,000",Department of Energy FY 2013 Approptriation Summary. 2012 at https://www.energy.gov/sites/default/files/FY13Apprsum.pdf Page 1.,"28,404,359,000",Department of Energy FY 2012 Approptriation Summary. 2011 at https://www.energy.gov/sites/default/files/FY12Apprsum.pdf Page 1.,
2010,"26,425,673,000",Department of Energy FY 2012 Approptriation Summary. 2011 at https://www.energy.gov/sites/default/files/FY12Apprsum.pdf Page 1.,"26,393,982,000",Department of Energy FY 2010 Approptriation Summary. 2009 at https://www.energy.gov/sites/default/files/FY10Apprsum.pdf  Page 1.,
