Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,,OHSA_foiacost,OSEC_foiacost,OIG_foiacost,WHD_foiacost,,OSHA_ratio,OSEC_ratio,OIG_ratio,WHD_ratio,,OSHA_backlog,OSEC_backlog,OIG_backlog,WHD_backlog
2023,"97,500,726,000",Department of Labor FY 2024 Budget in Brief. 2023 at https://www.dol.gov/sites/dolgov/files/general/budget/2024/FY2024BIB.pdf Page 74.,"75,581,927,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,,,,,,,,,,,,,,,,
2022,"128,897,816,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"105,815,172,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,,,5993705,438979,330000,748060,,0.00004649966296,0.00000340563567,0.000002560167505,0.00000580351183,,715,128,42,349
2021,"458,773,511,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"41,705,903,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,,,6181660,416076,421913,713151,,0.00001347431761,0.0000009069311763,0.00000091965423,0.000001554472922,,705,113,58,191
2020,"504,522,107,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,"39,585,586,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,,,6438507,376430,158000,974463,,0.0000127615954,0.0000007461120034,0.0000003131676448,0.000001931457485,,759,138,55,530
2019,"40,511,765,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,"39,615,687,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,,,6061079,171393,152000,1134082,,0.00014961281,0.000004230696935,0.000003751996488,0.00002799389264,,208,58,45,541
2018,"41,810,678,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,"43,646,295,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,,,5040810,96970,145000,1063575,,0.0001205627424,0.000002319263993,0.000003468013602,0.00002543787977,,199,7,40,390
2017,"43,698,385,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,"42,783,532,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,,,5118860,72500,141000,894942.95,,0.0001171407136,0.000001659100216,0.000003226663869,0.00002048000058,,115,1,24,281
2016,"45,958,998,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,"49,747,630,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,,,5037985,32863,138000,789229,,0.0001096191218,0.0000007150504021,0.000003002676429,0.00001717245881,,137,7,33,349
2015,"42,158,473,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,"53,556,682,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,,,5855109,32643,133000,548136,,0.0001388833272,0.0000007742927501,0.000003154763219,0.00001300179919,,97,7,39,259
2014,"54,985,682,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,"67,515,331,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,,,5740146.26,40100,131057,1600000,,0.0001043934721,0.0000007292807608,0.000002383475029,0.00002909848422,,109,5,15,262
2013,"81,548,138,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,"67,313,931,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,,,3774281.72,15054,127900,742000,,0.00004628286816,0.0000001846026208,0.000001568398778,0.000009098920199,,158,4,17,251
2012,"104,547,842,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,"106,202,372,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,,,4100320,15054,126000,742000,,0.00003921955654,0.0000001439914943,0.000001205189869,0.000007097229228,,174,0,8,319
2011,"129,707,515,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,"79,982,248,000",Department of Labor FY 2011 Budget Summary Tables. 2010 at https://www.dol.gov/sites/dolgov/files/general/budget/2011/CBJ-2011-V1-02.pdf  Page 9.,,,5091224.8,15074,126000,721334,,0.00003925157922,0.0000001162153172,0.0000009714163439,0.000005561235214,,134,1,11,219
2010,"178,366,375,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,"104,582,126,000",Department of Labor FY 2010 Budget Summary Tables. 2009 at https://www.dol.gov/sites/dolgov/files/general/budget/2010/CBJ-2010-V1-02.pdf Page 9.,,,5632203,,126000,678000,,0.00003157659621,,0.0000007064111719,0.000003801164878,,198,,9,90
