Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"242,000,000,000",USDA FY 2024 Budget Summary. 2023 at https://www.usda.gov/sites/default/files/documents/2024-usda-budget-summary.pdf Page 1.,"195,900,000,000",USDA FY 2023 Budget Summary. 2022 at https://www.usda.gov/sites/default/files/documents/2023-usda-budget-summary.pdf   Page 1.,
2022,"222,000,000,000",USDA FY 2024 Budget Summary. 2023 at https://www.usda.gov/sites/default/files/documents/2024-usda-budget-summary.pdf Page 1.,"198,100,000,000",USDA FY 2022 Budget Summary. 2021 at https://www.usda.gov/sites/default/files/documents/2022-budget-summary.pdf Page 1.,
2021,"216,000,000,000",USDA FY 2022 Budget Summary. 2021 at https://www.usda.gov/sites/default/files/documents/2022-budget-summary.pdf Page 1.,"146,000,000,000",USDA FY 2021 Budget Summary. 2020 at https://www.usda.gov/sites/default/files/documents/usda-fy2021-budget-summary.pdf Page 1.,
2020,"153,000,000,000",USDA FY 2022 Budget Summary. 2021 at https://www.usda.gov/sites/default/files/documents/2022-budget-summary.pdf Page 1.,"123,000,000,000",USDA FY 2020 Budget Summary. 2019 at https://www.usda.gov/sites/default/files/documents/fy2020-budget-summary.pdf  Page 1.,
2019,"147,000,000,000",USDA FY 2021 Budget Summary. 2020 at https://www.usda.gov/sites/default/files/documents/usda-fy2021-budget-summary.pdf Page 1.,"139,000,000,000",USDA FY 2019 Budget Summary. 2018 at https://www.usda.gov/sites/default/files/documents/usda-fy19-budget-summary.pdf Page 1.,
2018,"146,000,000,000",USDA FY 2020 Budget Summary. 2019 at https://www.usda.gov/sites/default/files/documents/fy2020-budget-summary.pdf  Page 1.,"137,000,000,000",USDA FY 2018 Budget Summary. 2017 at https://www.usda.gov/sites/default/files/documents/USDA-Budget-Summary-2018.pdf Page 1.,
2017,"137,000,000,000",USDA FY 2019 Budget Summary. 2018 at https://www.usda.gov/sites/default/files/documents/usda-fy19-budget-summary.pdf Page 1.,"155,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,
2016,"169,000,000,000",USDA FY 2018 Budget Summary. 2017 at https://www.usda.gov/sites/default/files/documents/USDA-Budget-Summary-2018.pdf Page 1.,"156,000,000,000",USDA FY 2016 Budget Summary. 2015 at https://www.usda.gov/sites/default/files/documents/fy16-budget-summary.pdf Page 1.,
2015,"142,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,"146,000,000,000",USDA FY 2015 Budget Summary. 2014 at https://www.usda.gov/sites/default/files/documents/fy15-budget-summary.pdf Page 1.,
2014,"158,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,"146,000,000,000",USDA FY 2014 Budget Summary. 2013 at https://www.usda.gov/sites/default/files/documents/fy14-budget-summary.pdf Page 1.,
2013,"155,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,"155,000,000,000",USDA FY 2013 Budget Summary. 2012 at https://www.usda.gov/sites/default/files/documents/fy13-budget-summary.pdf Page 1.,
2012,"152,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,NA,,
2011,"143,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,NA,,
2010,"130,000,000,000",USDA FY 2017 Budget Summary. 2016 at https://www.usda.gov/sites/default/files/documents/fy17-budget-summary.pdf Page 1.,NA,,
