Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request,,** Dollars in thousands
2023,"16,140,616",DOC FY 2024 Budget Summary. 2023 at https://www.commerce.gov/sites/default/files/2023-03/FY2024-BIB-Introduction.pdf Page 179.,"12,942,572",DOC FY 2023 Budget Summary. 2022 at https://www.commerce.gov/sites/default/files/2022-03/Commerce-FY2023-BIB-Introduction.pdf Page 153.,,,
2022,"60,748,010",DOC FY 2024 Budget Summary. 2023 at https://www.commerce.gov/sites/default/files/2023-03/FY2024-BIB-Introduction.pdf Page 179.,"12,016,860",DOC FY 2022 Budget Summary. 2021 at https://www.commerce.gov/sites/default/files/2021-06/BiB-Final-622-Noon.pdf Page 148.,,,
2021,"10,458,601",DOC FY 2023 Budget Summary. 2022 at https://www.commerce.gov/sites/default/files/2022-03/Commerce-FY2023-BIB-Introduction.pdf Page 153.,"8,190,269",DOC FY 2021 Budget Summary. 2020 at https://www.commerce.gov/sites/default/files/2020-02/FY_2021_DOC_BiB-021020.pdf Page 141.,,,
2020,"17,592,836",DOC FY 2022 Budget Summary. 2021 at https://www.commerce.gov/sites/default/files/2021-06/BiB-Final-622-Noon.pdf Page 148.,"12,496,839",DOC FY 2020 Budget Summary. 2019 at https://www.commerce.gov/sites/default/files/2019-03/FY_2020_DOC_BiB-032019.pdf  Page 137.,,,
2019,"12,579,689",DOC FY 2021 Budget Summary. 2020 at https://www.commerce.gov/sites/default/files/2020-02/FY_2021_DOC_BiB-021020.pdf Page 141.,"10,013,956",DOC FY 2019 Budget Summary. 2018 at https://www.osec.doc.gov/bmi/budget/FY19BIB/FY_2019_DOC_BiB-2122018.pdf  Page 121.,,,
2018,"12,463,409",DOC FY 2020 Budget Summary. 2019 at https://www.commerce.gov/sites/default/files/2019-03/FY_2020_DOC_BiB-032019.pdf  Page 137.,"8,042,159",DOC FY 2018 Budget Summary. 2017 at https://www.osec.doc.gov/bmi/budget/FY18BIB/All508.pdf Page 115.,,,
2017,"9,549,437",DOC FY 2019 Budget Summary. 2018 at https://www.osec.doc.gov/bmi/budget/FY19BIB/FY_2019_DOC_BiB-2122018.pdf  Page 121.,"12,057,339",DOC FY 2017 Budget Summary. 2016 at https://www.osec.doc.gov/bmi/budget/FY17BIB/AllFilesWithCharts2.pdf Page 146.,,,
2016,"10,211,865",DOC FY 2018 Budget Summary. 2017 at https://www.osec.doc.gov/bmi/budget/FY18BIB/All508.pdf Page 115.,"10,455,890",DOC FY 2016 Budget Summary. 2015 at https://www.osec.doc.gov/bmi/budget/FY16BIB/EntireDocument-WebVersionWithCharts.pdf Page 145.,,,
2015,"13,989,538",DOC FY 2017 Budget Summary. 2016 at https://www.osec.doc.gov/bmi/budget/FY17BIB/AllFilesWithCharts2.pdf Page 146.,"11,125,965",DOC FY 2015 Budget Summary. 2014 at https://www.osec.doc.gov/bmi/budget/FY15BiB/EntireBiB2_508.pdf Page 145.,,,
2014,"10,178,396",DOC FY 2016 Budget Summary. 2015 at https://www.osec.doc.gov/bmi/budget/FY16BIB/EntireDocument-WebVersionWithCharts.pdf Page 145.,"11,629,953",DOC FY 2014 Budget Summary. 2013 at https://www.osec.doc.gov/bmi/budget/FY14BIB/ENTIREBIB.pdf Page 159.,,,
2013,"7,770,406",DOC FY 2015 Budget Summary. 2014 at https://www.osec.doc.gov/bmi/budget/FY15BiB/EntireBiB2_508.pdf Page 145.,"9,233,048",DOC FY 2013 Budget Summary. 2012 at https://www.osec.doc.gov/bmi/budget/FY13BIB/fy2013bib_final.pdf Page 143.,,,
2012,"7,923,401",DOC FY 2014 Budget Summary. 2013 at https://www.osec.doc.gov/bmi/budget/FY14BIB/ENTIREBIB.pdf Page 159.,"10,429,208",DOC FY 2012 Budget Summary. 2011 at https://www.osec.doc.gov/bmi/budget/FY12BIB/2012_BIB.pdf Page 174.,,,
2011,"5,717,026",DOC FY 2013 Budget Summary. 2012 at https://www.osec.doc.gov/bmi/budget/FY13BIB/fy2013bib_final.pdf Page 143.,"9,111,756",DOC FY 2011 Budget Summary. 2010 at https://www.osec.doc.gov/bmi/budget/11BiB/2011_BiB.pdf Page 13.,,,
2010,"13,678,547",DOC FY 2012 Budget Summary. 2011 at https://www.osec.doc.gov/bmi/budget/FY12BIB/2012_BIB.pdf Page 174.,"13,980,000",DOC FY 2010 Budget Summary. 2009 at https://www.osec.doc.gov/bmi/budget/10BIB/2010%20budget%20in%20brief%20final.pdf Page 3.,,,
