Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"851,800,000,000",DOD FY 2024 Budget Request. March 2023 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2024/FY2024_Budget_Request_Overview_Book.pdf. Page 1-3.,"773,000,000,000",DOD FY 2023 Budget Request. April 2022 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2023/FY2023_Budget_Request_Overview_Book.pdf. Page 1-3.,
2022,"756,000,000,000",DOD FY 2023 Budget Request. April 2022 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2023/FY2023_Budget_Request_Overview_Book.pdf. Page 1-3.,"715,000,000,000",DOD FY 2022 Budget Request. May 2021 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2022/FY2022_Budget_Request_Overview_Book.pdf. Page 1-5.,
2021,"704,000,000,000",DOD FY 2023 Budget Request. April 2022 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2023/FY2023_Budget_Request_Overview_Book.pdf. Page 1-3.,"705,400,000,000",DOD FY 2021 Budget Request. February 2020 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2021/fy2021_Budget_Request_Overview_Book.pdf. Page 1-3.,
2020,"723,200,000,000",DOD FY 2022 Budget Request. May 2021 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2022/FY2022_Budget_Request_Overview_Book.pdf. Page 1-5.,"718,300,000,000",DOD FY 2020 Budget Request. March 2019 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2020/fy2020_Budget_Request_Overview_Book.pdf. Page 1-3.,
2019,"685,000,000,000",DOD FY 2020 Budget Request. March 2019 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2020/fy2020_Budget_Request_Overview_Book.pdf. Page 1-3.,"686,100,000,000",DOD FY 2019 Budget Request. February 2018 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Budget_Request_Overview_Book.pdf. Page 1-2.,
2018,"670,600,000,000",DOD FY 2020 Budget Request. March 2019 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2020/fy2020_Budget_Request_Overview_Book.pdf. Page 1-3.,"639,100,000,000",DOD FY 2018 Budget Request. May 2017 at https://comptroller.defense.gov/portals/45/documents/defbudget/fy2018/fy2018_budget_request_overview_book.pdf. Page 1-2.,
2017,"606,000,000,000",DOD FY 2020 Budget Request. March 2019 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2020/fy2020_Budget_Request_Overview_Book.pdf. Page 1-3.,"586,700,000,000",DOD FY 2018 Budget Request. May 2017 at https://comptroller.defense.gov/portals/45/documents/defbudget/fy2018/fy2018_budget_request_overview_book.pdf. Page 1-2.,
2016,"580,300,000,000",DOD FY 2018 Budget Request. May 2017 at https://comptroller.defense.gov/portals/45/documents/defbudget/fy2018/fy2018_budget_request_overview_book.pdf. Page 1-2.,"585,300,000,000",DOD FY 2016 Budget Request. February 2015 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2016/FY2016_Budget_Request_Overview_Book.pdf.  Page 1-2.,
2015,"560,400,000,000",DOD FY 2016 Budget Request. February 2015 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2016/FY2016_Budget_Request_Overview_Book.pdf.  Page 1-2.,"559,200,000,000",DOD FY 2015 Overseas Contingency Operations Budget Amendment. November 2014 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2015/amendment/FY2015_OCO_Budget_Amendment_Overview_Book.pdf. Page 1.,
2014,"581,400,000,000",DOD FY 2016 Budget Request. February 2015 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2016/FY2016_Budget_Request_Overview_Book.pdf.  Page 1-2.,"606,000,000,000",DOD FY 2014 Overseas Contingency Operations. May 2013 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2014/amendment/FY2014_Budget_Request_Overview_Book_Amended.pdf. Page 1.,
2013,"614,700,000,000",DOD FY 2014 Overseas Contingency Operations. May 2013 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2014/amendment/FY2014_Budget_Request_Overview_Book_Amended.pdf. Page 1.,"613,900,000,000",DOD FY 2013 Budget Request. February 2012 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2013/FY2013_Budget_Request_Overview_Book.pdf. Page 1-1.,
2012,"645,700,000,000",DOD FY 2013 Budget Request. February 2012 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2013/FY2013_Budget_Request_Overview_Book.pdf. Page 1-1.,"670,900,000,000",DOD FY 2012 Budget Request. February 2011 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2012/FY2012_Budget_Request_Overview_Book.pdf. Page 1-1.,
2011,"687,000,000,000",DOD FY 2013 Budget Request. February 2012 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2013/FY2013_Budget_Request_Overview_Book.pdf. Page 1-1.,"708,200,000,000",DOD FY 2011 Budget Request. February 2010 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2011/FY2011_Budget_Request_Overview_Book.pdf. Page 1-2.,
2010,"691,000,000,000",DOD FY 2012 Budget Request. February 2011 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2012/FY2012_Budget_Request_Overview_Book.pdf. Page 1-1.,"276,564,055,000","Budget Amendment to the FY 2010 President’s Budget Request for
Overseas Contingency Operations. August 2009 at https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2010/fy2010_oco.pdf. Page 7.",
