Year,Total Budget Received,Citation,Total Budget Requested,Citation,FOIA Budget Request
2023,"97,500,726,000",Department of Labor FY 2024 Budget in Brief. 2023 at https://www.dol.gov/sites/dolgov/files/general/budget/2024/FY2024BIB.pdf Page 74.,"75,581,927,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,
2022,"128,897,816,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"105,815,172,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,
2021,"458,773,511,000",Department of Labor FY 2023 Budget in Brief. 2022 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2023BIB_ETA.pdf Page 67.,"41,705,903,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,
2020,"504,522,107,000",Department of Labor FY 2022 Budget in Brief. 2021 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2022BIB_ETA.pdf Page 66.,"39,585,586,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,
2019,"40,511,765,000",Department of Labor FY 2021 Budget Summary Tables. 2020 at https://www.dol.gov/sites/dolgov/files/general/budget/2021/CBJ-2021-V1-02.pdf  Page 9.,"39,615,687,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,
2018,"41,810,678,000",Department of Labor FY 2020 Budget Summary Tables. 2019 at https://www.dol.gov/sites/dolgov/files/general/budget/2020/CBJ-2020-V1-02.pdf Page 6.,"43,646,295,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,
2017,"43,698,385,000",Department of Labor FY 2019 Budget Summary Tables. 2018 at https://www.dol.gov/sites/dolgov/files/general/budget/2019/CBJ-2019-V1-02.pdf Page 6.,"42,783,532,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,
2016,"45,958,998,000",Department of Labor FY 2018 Budget Summary Tables. 2017 at https://www.dol.gov/sites/dolgov/files/general/budget/2018/CBJ-2018-V1-02.pdf Page 13.,"49,747,630,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,
2015,"42,158,473,000",Department of Labor FY 2017 Budget in Brief. 2016 at https://www.dol.gov/sites/dolgov/files/ETA/budget/pdfs/FY2017_BIB_ETA_Excerpts.pdf Page 61.,"53,556,682,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,
2014,"54,985,682,000",Department of Labor FY 2016 Budget Summary Tables. 2015 at https://www.dol.gov/sites/dolgov/files/general/budget/2016/CBJ-2016-V1-02.pdf Page 10.,"67,515,331,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,
2013,"81,548,138,000",Department of Labor FY 2015 Budget Summary Tables. 2014 at https://www.dol.gov/sites/dolgov/files/general/budget/2015/CBJ-2015-V1-02.pdf Page 10.,"67,313,931,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,
2012,"104,547,842,000",Department of Labor FY 2014 Budget Summary Tables. 2013 at https://www.dol.gov/sites/dolgov/files/general/budget/2014/CBJ-2014-V1-02.pdf Page 9.,"106,202,372,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,
2011,"129,707,515,000",Department of Labor FY 2013 Budget Summary Tables. 2012 at https://www.dol.gov/sites/dolgov/files/general/budget/2013/CBJ-2013-V1-02.pdf  Page 9.,"79,982,248,000",Department of Labor FY 2011 Budget Summary Tables. 2010 at https://www.dol.gov/sites/dolgov/files/general/budget/2011/CBJ-2011-V1-02.pdf  Page 9.,
2010,"178,366,375,000",Department of Labor FY 2012 Budget Summary Tables. 2011 at https://www.dol.gov/sites/dolgov/files/general/budget/2012/CBJ-2012-V1-02.pdf Page 9.,"104,582,126,000",Department of Labor FY 2010 Budget Summary Tables. 2009 at https://www.dol.gov/sites/dolgov/files/general/budget/2010/CBJ-2010-V1-02.pdf Page 9.,
